Date,Equal_Weighted_Value,Custom_Weighted_Value
2018-04-18,31674.092879191106,31726.147917308892
2018-04-19,31476.788776635836,31326.97769618777
2018-04-20,30808.896539231984,30506.90706308113
2018-04-23,30783.529661427732,30476.570201060684
2018-04-24,29911.740985713906,29760.16908746413
2018-04-25,29871.872341502713,29749.386373729227
2018-04-26,30314.68345799489,30107.915073666776
2018-04-27,30250.137168083496,30014.775589931185
2018-04-30,30064.92017420296,29995.55583497859
2018-05-01,30674.51172226892,30617.03350798085
2018-05-02,30821.401931828044,31062.73070809913
2018-05-03,30904.05282873562,31148.203697307807
2018-05-04,31675.495796277242,32017.432307968567
2018-05-07,31954.490406630728,32291.794692062715
2018-05-08,31951.55705223172,32322.82299315072
2018-05-09,32457.60816623798,32736.37670229686
2018-05-10,32884.762845303296,33168.10702386245
2018-05-11,32798.83561821254,33071.14734239593
2018-05-14,32842.165140683814,33085.38361357366
2018-05-15,32448.411048844864,32733.213098214947
2018-05-16,32569.48303193424,32906.58377859319
2018-05-17,32364.091946691547,32686.791550604048
2018-05-18,32229.111102350907,32575.450473574012
2018-05-21,32587.80025534527,32904.13750066664
2018-05-22,32462.28159021217,32799.99811435711
2018-05-23,32767.565816404698,33087.18550472602
2018-05-24,32711.510070296095,33030.41817369899
2018-05-25,32728.219181769065,33064.87202740866
2018-05-29,32488.946478558028,32872.29583569149
2018-05-30,32665.068404556612,32989.74974543557
2018-05-31,32844.05189552124,33061.28315234278
2018-06-01,33605.826466771025,33765.46643834959
2018-06-04,33975.308160910194,34102.35477440126
2018-06-05,34100.75881539941,34274.275075548605
2018-06-06,34133.33213228256,34339.61804280511
2018-06-07,33799.8092303041,34056.737911394936
2018-06-08,33764.08887365663,33967.51362025736
2018-06-11,33753.6378545612,33916.8346516643
2018-06-12,33916.25601923283,34079.47280365553
2018-06-13,33733.033182268955,33869.5249375582
2018-06-14,33958.53686866131,34029.8460833446
2018-06-15,33690.08285165376,33720.278547559334
2018-06-18,34001.50581214277,33926.52909671282
2018-06-19,33771.52579917299,33624.37018907692
2018-06-20,33984.738638586816,33829.412253599534
2018-06-21,33700.424403159624,33578.76919811279
2018-06-22,33585.19486590297,33456.31292406578
2018-06-25,32906.16998764914,32833.894325105226
2018-06-26,33055.050818725635,33068.25396649476
2018-06-27,32715.12116057121,32798.2921179887
2018-06-28,33012.404552370164,33085.3651805604
2018-06-29,33010.57242319902,33062.72338238396
2018-07-02,33415.74294723715,33464.067855509384
2018-07-03,32862.919816973976,32924.92535871008
2018-07-05,33275.018642496936,33275.73651660301
2018-07-06,33718.44771200924,33726.87672549856
2018-07-09,34069.87999601714,34101.282985772166
2018-07-10,34084.923801643316,34107.01444186326
2018-07-11,33963.97185936068,33896.9484748643
2018-07-12,34687.120512527916,34573.930318925406
2018-07-13,34873.30587186393,34742.71707575959
2018-07-16,34714.10839076458,34607.538192443164
2018-07-17,35021.79859463793,34855.26330339175
2018-07-18,34864.68192913442,34676.78293469036
2018-07-19,34743.09393898912,34661.335659469216
2018-07-20,34912.196018045724,34800.80131109756
2018-07-23,35236.1558248689,35059.499266071085
2018-07-24,35744.94245264311,35429.47430985543
2018-07-25,36376.60771208304,36009.67979843239
2018-07-26,36297.110258590845,35889.324420036835
2018-07-27,35574.83914734346,35218.245516198695
2018-07-30,35037.73811963305,34764.4668528036
2018-07-31,35113.032032785886,34853.58570254466
2018-08-01,35879.631579110064,35932.685940768664
2018-08-02,36453.35289607982,36636.144168274026
2018-08-03,36512.52126898293,36719.628307304505
2018-08-06,36581.03645131513,36821.22907703432
2018-08-07,36730.31326876788,36833.365427318684
2018-08-08,36860.70832316839,36939.92767222404
2018-08-09,37008.035128971926,37121.74468232465
2018-08-10,36779.339648106456,36928.2543856679
2018-08-13,36731.76630267337,36944.364418594065
2018-08-14,37029.256903852634,37216.67689178423
2018-08-15,36636.42558428604,36955.40229496579
2018-08-16,36732.194741374464,37175.09778236216
2018-08-17,36887.75781186422,37490.20219890692
2018-08-20,36748.49086195218,37270.94947862719
2018-08-21,36577.08828192586,37113.80919935768
2018-08-22,36745.37016190193,37254.600763976836
2018-08-23,36821.71947586031,37341.31023698397
2018-08-24,37112.43149695744,37582.19269608399
2018-08-27,37546.49599881723,37980.37259610227
2018-08-28,37619.22813044185,38139.404167923334
2018-08-29,38195.724659323845,38721.782467041485
2018-08-30,38202.03424421882,38830.00156898233
2018-08-31,38162.56240496127,38953.70154739658
2018-09-04,37921.54417639877,38822.06806859849
2018-09-05,37347.29378019431,38281.44153460394
2018-09-06,37012.23367722987,37893.35492342622
2018-09-07,36785.87511675971,37644.11999879981
2018-09-10,36727.543561522914,37497.442154212426
2018-09-11,37400.80357098813,38258.04389593058
2018-09-12,37105.98854576213,37950.72577890929
2018-09-13,37648.89107079887,38599.662022790144
2018-09-14,37513.4056947175,38400.59962357571
2018-09-17,36852.12727421716,37646.04847921388
2018-09-18,37066.7379604558,37832.170105340316
2018-09-19,36985.0973842771,37738.47320215408
2018-09-20,37466.83658795679,38182.64909581577
2018-09-21,37204.337472369625,37921.95668298615
2018-09-24,37505.88875672481,38283.58037361415
2018-09-25,37713.05721440354,38475.94045103741
2018-09-26,37563.08211587466,38276.38294074747
2018-09-27,38007.10954960957,38798.291475652775
2018-09-28,38044.24065562721,38860.55705370242
2018-10-01,38282.35556604139,39127.12443238635
2018-10-02,38335.602989336345,39248.5395408614
2018-10-03,38534.483078076184,39514.6728353295
2018-10-04,37677.870078302534,38697.562069253414
2018-10-05,37301.964041970125,38254.86594971369
2018-10-08,37004.390652843555,38001.48289940854
2018-10-09,37217.45577355265,38339.04181661614
2018-10-10,35394.368697309685,36471.067928852404
2018-10-11,35247.09332761293,36274.840189635666
2018-10-12,36393.76930418893,37496.97326712495
2018-10-15,35720.26909708583,36772.63799546015
2018-10-16,36689.818406582075,37730.810814860706
2018-10-17,36545.75761130628,37583.14906511776
2018-10-18,35697.20100600945,36721.00475190687
2018-10-19,35974.7629322684,37065.51283474081
2018-10-22,36222.23805865739,37319.52569189997
2018-10-23,36206.01268580014,37362.95274697761
2018-10-24,34521.17270020237,35735.48822928547
2018-10-25,35951.513225442606,37067.492359325384
2018-10-26,35396.967983632414,36501.49889890774
2018-10-29,34298.738769123454,35510.3253876977
2018-10-30,34505.93519755271,35688.137902012
2018-10-31,35597.376652978586,36750.48643105233
2018-11-01,35630.62021274729,36909.7154031207
2018-11-02,34711.26468356814,35612.1922089574
2018-11-05,34359.74882680944,35137.80268469082
2018-11-06,34656.12404032654,35440.512700051666
2018-11-07,35878.84077829371,36652.70055204754
2018-11-08,35667.80415830074,36478.10428388671
2018-11-09,35015.35762016312,35795.57653433484
2018-11-12,33840.035302672215,34445.51358101525
2018-11-13,33719.78035933197,34271.079541492945
2018-11-14,33313.78599705773,33684.48185957876
2018-11-15,34005.62772851727,34427.71843562693
2018-11-16,34208.47008729247,34697.740283742445
2018-11-19,32934.06755746608,33392.02659584947
2018-11-20,32136.583459553443,32335.3822892935
2018-11-21,32406.862832565443,32532.099723986437
2018-11-23,31990.305706864317,32032.05386871546
2018-11-26,32753.766901557283,32726.352849982697
2018-11-27,32760.868542063527,32729.83900988775
2018-11-28,33996.46972839915,33969.64496369746
2018-11-29,33843.53272853196,33771.23787581294
2018-11-30,34009.56783331117,33837.36616586877
2018-12-03,34596.92088238387,34579.31601554463
2018-12-04,33165.6353522965,33154.520601937664
2018-12-06,33273.052968385084,33128.52041792953
2018-12-07,32109.63499215011,31946.53874463748
2018-12-10,32530.48804618364,32345.326994406092
2018-12-11,32656.46032017036,32395.042641874166
2018-12-12,32859.78282157815,32557.7666934623
2018-12-13,33014.830380674066,32767.84281125135
2018-12-14,32095.038829067045,31803.15427126683
2018-12-17,31413.56647861221,31215.017081655616
2018-12-18,31840.842807582147,31624.197927783724
2018-12-19,31400.335986130103,31057.251432031666
2018-12-20,30796.06864542513,30398.242910894416
2018-12-21,29740.863596666455,29320.368242282188
2018-12-24,29004.770010359895,28534.98664043625
2018-12-26,30966.40807588449,30490.669919084234
2018-12-27,31012.807672936167,30477.518097903252
2018-12-28,30876.31956509766,30377.926576453323
2018-12-31,31079.856886300924,30621.86736339817
2019-01-02,31142.148065033234,30655.60761877191
